Wavelength (nm),Counts
412.97841507500004,24.0
413.34163870000003,18.0
413.70492367500003,8.0
414.06827,2.0
414.431677675,-10.0
414.79514670000003,-3.0
415.158677075,-4.0
415.5222688,-10.0
415.885921875,-4.0
416.2496363,4.0
416.61341207500004,4.0
416.9772492,14.0
417.341147675,0.0
417.70510750000005,-8.0
418.069128675,-9.0
418.4332112,2.0
418.79735507500004,3.0
419.1615603,9.0
419.525826875,8.0
419.8901548,18.0
420.254544075,20.0
420.61899470000003,10.0
420.98350667500006,-1.0
421.34808000000004,-5.0
421.71271467500003,-1.0
422.07741070000003,5.0
422.44216807500004,6.0
422.8069868,15.0
423.17186687500003,9.0
423.5368083,7.0
423.901811075,16.0
424.2668752,9.0
424.63200067500003,18.0
424.9971875,28.0
425.36243567500003,35.0
425.7277452,39.0
426.093116075,35.0
426.4585483,31.0
426.82404187500003,27.0
427.1895968,20.0
427.555213075,15.0
427.92089070000003,9.0
428.28662967500003,17.0
428.65243,15.0
429.018291675,14.0
429.38421470000003,7.0
429.750199075,5.0
430.1162448,17.0
430.482351875,26.0
430.8485203,31.0
431.21475007500004,14.0
431.5810412,8.0
431.947393675,7.0
432.31380750000005,-1.0
432.680282675,0.0
433.0468192,-3.0
433.413417075,10.0
433.7800763,21.0
434.146796875,32.0
434.5135788,28.0
434.880422075,29.0
435.24732670000003,33.0
435.614292675,25.0
435.98132000000004,34.0
436.34840867500003,23.0
436.71555870000003,32.0
437.082770075,25.0
437.4500428,26.0
437.81737687500004,32.0
438.1847723,24.0
438.552229075,35.0
438.9197472,33.0
439.28732667500003,29.0
439.6549675,33.0
440.02266967500003,23.0
440.3904332,14.0
440.758258075,2.0
441.1261443,-4.0
441.49409187500004,-1.0
441.8621008,4.0
442.23017107500004,-6.0
442.59830270000003,0.0
442.96649567500003,5.0
443.33475000000004,8.0
443.703065675,1.0
444.07144270000003,-10.0
444.439881075,-6.0
444.8083808,-4.0
445.176941875,-2.0
445.5455643,9.0
445.91424807500005,2.0
446.2829932,10.0
446.651799675,3.0
447.0206675,7.0
447.389596675,5.0
447.7585872,-7.0
448.12763907500005,3.0
448.4967523,6.0
448.865926875,12.0
449.2351628,7.0
449.604460075,4.0
449.97381870000004,3.0
450.343238675,0.0
450.71272,1.0
451.08226267500004,5.0
451.4518667,18.0
451.82153207500005,14.0
452.1912588,9.0
452.56104687500005,-8.0
452.93089630000003,8.0
453.300807075,28.0
453.6707792,24.0
454.04081267500004,24.0
454.4109075,26.0
454.78106367500004,26.0
455.1512812,22.0
455.521560075,21.0
455.89190030000003,2.0
456.26230187500005,10.0
456.6327648,5.0
457.003289075,14.0
457.37387470000004,17.0
457.74452167500004,19.0
458.11523,23.0
458.485999675,10.0
458.85683070000005,17.0
459.22772307500003,16.0
459.5986768,25.0
459.969691875,18.0
460.34076830000004,18.0
460.711906075,19.0
461.08310520000003,21.0
461.454365675,7.0
461.8256875,14.0
462.197070675,6.0
462.56851520000004,8.0
462.940021075,20.0
463.31158830000004,23.0
463.683216875,13.0
464.0549068,11.0
464.426658075,9.0
464.79847070000005,7.0
465.170344675,3.0
