wavenumber,theta
1453.2057796827357,27.5
1458.572564261107,27.5
1463.8123406650411,27.5
1469.168826871104,27.5
1474.520115988049,27.5
1479.8662155758557,27.5
1485.2071331798597,27.5
1490.5428763307682,27.5
1495.8734525447035,27.5
1501.1988693232452,27.5
1506.5191341534464,27.5
1511.7135133947213,27.5
1517.0236133992312,27.5
1522.3285836608338,27.5
1527.6284316092078,27.5
1532.9231646596927,27.5
1538.212790213316,27.5
1543.497315656843,27.5
1548.7767483627922,27.5
1554.051095689485,27.5
1559.320364981073,27.5
1564.5845635675705,27.5
1569.843698764893,27.5
1575.0977778748893,28.5
1580.3468081853716,28.5
1585.5907969701602,28.5
1590.829751489102,28.5
1596.0636789881155,28.5
1601.2925866992173,28.5
1606.5164818405628,29.5
1611.7353716164707,29.5
1616.949263217466,29.5
1622.158163820297,29.5
1627.3620805879928,29.5
1632.5610206698675,29.5
1637.754991201582,29.5
1642.9439993051474,30.5
1648.128052088985,30.5
1653.4248061174694,30.5
1658.5988573163195,30.5
1663.767974599872,30.5
1668.93216502215,30.5
1674.0914356237354,30.5
1679.2457934318027,30.5
1684.3952454601495,30.5
1689.539798709231,30.5
1694.679460166186,30.5
1699.930879557629,30.5
1705.060667559048,30.5
1710.1855848079413,30.5
1715.3056382382129,31.5
1720.4208347706099,31.5
1725.531181312761,31.5
1730.7526626964045,31.5
1735.8532200945083,31.5
1740.948948302761,31.5
1746.0398541763007,32.5
1751.1259445573087,32.5
1756.207226275019,32.5
1761.3990249350318,32.5
1766.4706008629746,32.5
1771.5373886922007,32.5
1776.5993952002063,32.5
1781.7715088050245,32.5
1786.823864671158,32.5
1791.871459625001,32.5
1796.914300392802,32.5
1802.0668406863788,33.5
1807.1000855431994,33.5
1812.1285964687268,33.5
1817.15238013845,35.0
1822.2854580205658,35.0
1827.2997000971227,35.0
1832.309235019895,36.0
1837.4277610730805,36.0
1842.4277949483094,36.0
1847.4231416579678,36.0
1852.5271776743793,36.0
1857.5130636527138,36.0
1862.4942823406782,36.0
1867.5838897631093,36.0
1872.555687808197,36.0
1877.5228383258982,38.0
1882.598078250252,38.0
1887.555847987349,38.0
1892.5089898486312,38.0
1897.5699230263563,38.0
1902.513723744727,38.0
1907.5651169934445,38.5
1912.4996029687354,40.0
1917.4294936240021,40.0
1922.466680770045,43.0
1927.3872959485743,43.0
1932.4150101977193,43.0
1937.326376052306,43.0
